Diamond Bangle (VII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,5,5,0,11,15,99,5,0,0,9,9,0,23,31,99,9,0
,10,0,8,8,0,18,25,99,8,0,0,16,16,0,40,57,99,16,0
,2,0,6,6,0,12,17,99,6,0,0,10,10,0,23,32,99,10,0
,3,0,6,6,0,13,18,99,6,0,0,10,10,0,24,33,99,10,0
,4,0,6,6,0,14,19,99,6,0,0,10,10,0,25,34,99,10,0
,5,0,7,7,0,14,20,99,7,0,0,12,12,0,29,41,99,12,0
,6,0,7,7,0,15,21,99,7,0,0,12,12,0,30,42,99,12,0
,7,0,7,7,0,16,22,99,7,0,0,12,12,0,31,43,99,12,0
,8,0,7,7,0,17,23,99,7,0,0,13,13,0,31,44,99,13,0
,9,0,8,8,0,17,24,99,8,0,0,13,13,0,32,45,99,13,0
