Gold Bangle (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,13,13,0,57,53,105,13,0,0,18,18,0,71,72,105,18,0
,10,0,16,16,0,66,65,105,16,0,0,26,26,0,92,102,105,26,0
,11,0,17,17,0,66,66,105,17,0,0,26,26,0,93,103,105,26,0
,12,0,17,17,0,67,67,105,17,0,0,26,26,0,94,104,105,26,0
,13,0,17,17,0,68,68,105,17,0,0,27,27,0,95,106,105,27,0
,14,0,18,18,0,69,70,105,18,0,0,27,27,0,96,107,105,27,0
,15,0,18,18,0,70,71,105,18,0,0,30,30,0,106,121,105,30,0
,16,0,18,18,0,71,72,105,18,0,0,31,31,0,107,122,105,31,0
,17,0,18,18,0,72,73,105,18,0,0,31,31,0,108,123,105,31,0
,18,0,19,19,0,73,75,105,19,0,0,31,31,0,109,124,105,31,0
,19,0,19,19,0,74,76,105,19,0,0,31,31,0,109,125,105,31,0
,2,0,14,14,0,58,55,105,14,0,0,18,18,0,72,73,105,18,0
,20,0,19,19,0,75,77,105,19,0,0,35,35,0,119,139,105,35,0
,25,0,21,21,0,79,83,105,21,0,0,40,40,0,133,158,105,40,0
,3,0,14,14,0,59,56,105,14,0,0,19,19,0,73,75,105,19,0
,4,0,14,14,0,60,57,105,14,0,0,19,19,0,74,76,105,19,0
,5,0,15,15,0,61,58,105,15,0,0,21,21,0,79,83,105,21,0
,6,0,15,15,0,62,60,105,15,0,0,21,21,0,80,85,105,21,0
,7,0,15,15,0,63,61,105,15,0,0,22,22,0,81,86,105,22,0
,8,0,16,16,0,64,62,105,16,0,0,22,22,0,82,87,105,22,0
,9,0,16,16,0,65,63,105,16,0,0,22,22,0,83,88,105,22,0
