Titanium Bangle (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,5,5,0,11,13,99,5,0,0,10,10,0,23,28,99,10,0
,10,0,8,8,0,19,22,99,8,0,0,18,18,0,42,50,99,18,0
,2,0,6,6,0,12,14,99,6,0,0,11,11,0,24,29,99,11,0
,3,0,6,6,0,13,15,99,6,0,0,11,11,0,25,30,99,11,0
,4,0,6,6,0,14,16,99,6,0,0,11,11,0,26,31,99,11,0
,5,0,7,7,0,15,17,99,7,0,0,13,13,0,30,36,99,13,0
,6,0,7,7,0,15,18,99,7,0,0,13,13,0,31,37,99,13,0
,7,0,7,7,0,16,19,99,7,0,0,14,14,0,32,38,99,14,0
,8,0,8,8,0,17,20,99,8,0,0,14,14,0,33,39,99,14,0
,9,0,8,8,0,18,21,99,8,0,0,14,14,0,34,40,99,14,0
