Sanctum Gloves (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,14,12,0,55,55,105,13,0,0,19,18,0,69,74,105,18,0
,10,0,17,16,0,64,67,105,16,0,0,27,26,0,90,104,105,26,0
,11,0,18,16,0,64,68,105,17,0,0,27,26,0,91,105,105,26,0
,12,0,18,16,0,65,69,105,17,0,0,27,27,0,92,106,105,26,0
,13,0,18,17,0,66,70,105,17,0,0,28,27,0,93,108,105,27,0
,14,0,19,17,0,67,72,105,18,0,0,28,27,0,94,109,105,27,0
,15,0,19,17,0,68,73,105,18,0,0,31,31,0,104,123,105,30,0
,16,0,19,18,0,69,74,105,18,0,0,32,31,0,105,124,105,31,0
,17,0,19,18,0,70,75,105,18,0,0,32,32,0,106,125,105,31,0
,18,0,20,18,0,71,77,105,19,0,0,32,32,0,107,126,105,31,0
,19,0,20,19,0,72,78,105,19,0,0,32,32,0,107,127,105,31,0
,2,0,15,13,0,56,57,105,14,0,0,19,18,0,70,75,105,18,0
,20,0,20,19,0,73,79,105,19,0,0,36,36,0,117,141,105,35,0
,3,0,15,13,0,57,58,105,14,0,0,20,18,0,71,77,105,19,0
,4,0,15,14,0,58,59,105,14,0,0,20,19,0,72,78,105,19,0
,5,0,16,14,0,59,60,105,15,0,0,22,21,0,77,85,105,21,0
,6,0,16,14,0,60,62,105,15,0,0,22,21,0,78,87,105,21,0
,7,0,16,15,0,61,63,105,15,0,0,23,21,0,79,88,105,22,0
,8,0,17,15,0,62,64,105,16,0,0,23,22,0,80,89,105,22,0
,9,0,17,15,0,63,65,105,16,0,0,23,22,0,81,90,105,22,0
