21001001,Knife (II)
21001002,Mythril Knife (II)
21001003,Dagger (IX)
21001004,Kunai (IV)
21001005,Kodachi (V)
21001006,Chopper (XII)
21001007,Cat Claws (II)
21001008,Mythril Dagger (IX)
21001009,Orichalcum Dirk (V)
21001010,Dancing Dagger (V)
21001011,Avenger (XII)
21001012,Ripper (II)
21001013,Main Gauche (VI)
21001014,Air Knife (VI)
21001015,Mage Masher (IV)
21001016,Platinum Dagger (XII)
21001017,Gladius (IX)
21001019,Maneater (VI)
21001020,Swordbreaker (VI)
21001021,Danjuro (XII)
21001029,Dancing Dagger (IV)
21001030,Mesmerize Blade (VIII)
21002001,Broadsword (V)
21002002,Iron Sword (XII)
21002003,Longsword (XII)
21002004,Mythril Sword (IV)
21002005,Coral Sword (V)
21002006,Mythril Blade (XII)
21002007,Greatsword (VI)
21002008,Rune Blade (V)
21002009,Enhancer (V)
21002010,Ancient Sword (XII)
21002012,Platinum Sword (XII)
21002013,Flametongue (VI)
21002015,Falchion (VI)
21002016,Bastard Sword (VI)
21002018,Sleep Blade (IV)
21002019,Icebrand (IV)
21002020,Defender (IV)
21002021,Stoneblade (VI)
21002022,Crystal Sword (VI)
21002023,Buster Sword (VII)
21002026,Dark Sword (IV)
21002029,Soul Sabre (VI)
21002030,Diamond Sword (XII)
21002031,Claymore (XII)
21002033,Zantetsuken (VI)
21002038,Wing Sword (II)
21002039,Enhancer (VI)
21002040,Warrior's Sword (X)
21002041,Defender (I)
21002042,Blitz Sword (VIII)
21003005,Masamune (VII)
21003006,Masamune Blade (VII)
21003010,Nodachi (X)
21004001,Battle Axe (V)
21004002,Handaxe (XII)
21004003,Broadaxe (XII)
21004004,Slasher (XII)
21004006,Death Sickle (V)
21004007,Rune Axe (V)
21004008,Poison Axe (IV)
21004009,Giant's Axe (V)
21005001,Hammer (IV)
21005002,Mythril Hammer (IV)
21005003,War Hammer (V)
21005004,Gaia Hammer (V)
21005005,Sledgehammer (XII)
21006001,Spear (XII)
21006002,Wind Spear (V)
21006003,Partisan (XII)
21006004,Heavy Lance (XII)
21006005,Mythril Spear (VI)
21006006,Javelin (V)
21006007,Storm Spear (XII)
21006008,Obelisk (XII)
21006009,Halberd (XII)
21006010,Trident (XII)
21006011,Blood Lance (IV)
21006012,Golden Spear (VI)
21007001,Leather Glove (VII)
21007002,Cat Claws (III)
21007003,Metal Knuckles (VI)
21007004,Sonic Knuckles (III)
21007005,Bronze Knuckles (III)
21007006,Mythril Claws (VI)
21007007,Diamond Knuckle (VII)
21007008,Wyvern Claws (III)
21007009,Tiger Claws (III)
21007010,Venom Claws (VI)
21007013,Grand Glove (VII)
